\\C:\SrBEC\Data\13Nov09\DataB.dat
PicNr Ok Code           Nr       SigmaX       SigmaY         AmpX         AmpY OpticalDensi       NGauss    NIntegral   NIntOffset        NROI0        NROI1        NROI2        NROI3        NROI4        NROI5        NROI6        NROI7           F0           F1           F2           F3           F4      NOfROI0      NOfROI1      NOfROI2      NOfROI3      NOfROI4      NOfROI5      NOfROI6      NOfROI7           X0           Y0      GSlopeX      GSlopeY     GOffsetX     GOffsetY         XRMS         YRMS      n0Gauss    RecapFluo          N2D      Tradial       Taxial           n0         rho0        Gamma         X02D         Y02D     Offset2D     SlopeX2D     SlopeY2D      Angle2D      zCorr2D MOTFluoresce  LoadingTime       FermiL TempTOFaxial      TempTOF TFermi_TCrit       TBoson         T_TF           RF      RM2_RF2         Ecut          eta  NumberRatio  NumberAtoms APDAverageRa APDOffsetRat        Data0        Data1        Data2        Data3        Data4        Data5        Data6        Data7        Data8        Data9       Data10       Data11       Data12       Data13       Data14       Data15       Data16       Data17       Data18       Data19       Data20       Data21       Data22       Data23       Data24       Data25       Data26       Data27       Data28       Data29       Data30       Data31       Data32       Data33       Data34       Data35       Data36       Data37       Data38       Data39       Data40       Data41       Data42       Data43       Data44       Data45       Data46       Data47       Data48       Data49 ImageQuality      FreeMem     TrapType   BarCurrent TransferCurr   MOTCurrent   GxOrOffset GyOrGradient GzOrCurvatur        Li7f0      Li7fend ProbeDetunin ExpansionTim  Calibration        EichX        EichY NoisePicture NrProbeImage UseProbeLibr         Fluo FastKinetics    FKSHeight FKSDirtyLine ProfilAverag SeveralPictu      BiningX      BiningY      MaxFluo           P1           P2 1DFitFunctio 2DFitFunctio      FitIter    FitChange     FitChiSq       Camera PictureListP  MainPicture         Mass   Wavelength      Clebsch    MagMoment    Linewidth       Pos1Xs       Pos1Xe       Pos1Ys       Pos1Ye       Pos2Xs       Pos2Xe       Pos2Ys       Pos2Ye        Color    LineShift  OffsetShift  TimingError     Filename         Path     Endstate   AtomicName CameraDirect 
    1  1 P11            1            0  0.146233377            0 0.001285991973 0.01752945289            0  1311.419485 0.003117917386            0            0            0            0            0            0            0            0            0            0            0            0            0 0.0006995432659 0.0006995432659 0.0001323493563 0.0001163531285            0            0            0            0     0.687706    0.0364734            0            0            0 0.001944036279 0.3647364768 0.1199833667            0            0    100000000 0.7529782096            0        1e+10        1e-06            1            0            0            0            0            0         -1.5            1            0        60000            1            0 0.7529782096 0.3198120457            0            0            0            0            0            0            1           -1           -1           -1            0            0            0            0            0            0            0            0            0            0        60000    2311948.9   2311950000            0            0 -0.025024414     1342.537 -0.020294189 0.00015258789 -0.029449463 -0.0028991699 -0.019378662    1.7274475    1.7222595 -0.018157959            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0   2147483647            0            0            0            0            0            0            0            0            0            0           17            1      0.00396      0.00396            0            1            0            0            1          501            4            1            1            1            1         1000            0            1            1            0            0            0 0.0002494443846            1            1            4           84     4.61e-07            1            0     32000000     0.430065     0.733872  0.115234375  0.310546875     0.303807     0.895639  0.087890625     0.328125            0            0            1            0 C:\SrBEC\Data\13Nov09\P0001BA1.TGA Optical trap WZST0IRC0D0T1Z0F0Z2Z3DS0Z4Z5F2Z0SrMIP1ZSR0CSRD1T2RRRRD3IRC1D5D4RRF1D8F4D10F5D11Z0FAPIP2 84Sr Y 
    2  1 P11            2            0 0.1197373476            0 0.001214913581 -0.005217590374            0     447.6316 0.002128737858            0            0            0            0            0            0            0            0            0            0            0            0            0 0.0006995432659 0.0006995432659 0.0001323493563 0.0001163531285            0            0            0            0     0.687706    0.0364734            0            0            0 0.001015616823 0.4067838042 0.1206867183            0            0    100000000 0.5048340694            0        1e+10        1e-06            1            0            0            0            0            0         -1.5            1            0        60000            1            0 0.5048340694 0.3198120457            0            0            0            0            0            0            1           -1           -1           -1            0            0            0            0            0            0            0            0            0            0        60000    2312073.7   2312074800            0            0 -0.029449463     1342.537 -0.019073486 -0.0096130371 -0.0059509277 -0.0032043457 -0.025177002    1.7311096    1.7192078 -0.019683838            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0   2147483647            0            0            0            0            0            0            0            0            0            0           17            1      0.00396      0.00396            0            1            0            0            1          501            4            1            1            1            1         1000            0            1            1            0            0            0 0.0002196021053            1            1            4           84     4.61e-07            1            0     32000000     0.430065     0.733872  0.115234375  0.310546875     0.303807     0.895639  0.087890625     0.328125            0            0            1            0 C:\SrBEC\Data\13Nov09\P0002BA1.TGA Optical trap WZST0IRC0D0T1Z0F0Z2Z3DS0Z4Z5F2Z0SrMIP1ZSR0CSRD1T2RRRRD3IRC1D5D4RRF1D8F4D10F5D11Z0FAPIP2 84Sr Y 
