\\C:\SrBEC\Data\13Nov09\DataD.dat
PicNr Ok Code           Nr       SigmaX       SigmaY         AmpX         AmpY OpticalDensi       NGauss    NIntegral   NIntOffset        NROI0        NROI1        NROI2        NROI3        NROI4        NROI5        NROI6        NROI7           F0           F1           F2           F3           F4      NOfROI0      NOfROI1      NOfROI2      NOfROI3      NOfROI4      NOfROI5      NOfROI6      NOfROI7           X0           Y0      GSlopeX      GSlopeY     GOffsetX     GOffsetY         XRMS         YRMS      n0Gauss    RecapFluo          N2D      Tradial       Taxial           n0         rho0        Gamma         X02D         Y02D     Offset2D     SlopeX2D     SlopeY2D      Angle2D      zCorr2D MOTFluoresce  LoadingTime       FermiL TempTOFaxial      TempTOF TFermi_TCrit       TBoson         T_TF           RF      RM2_RF2         Ecut          eta  NumberRatio  NumberAtoms APDAverageRa APDOffsetRat        Data0        Data1        Data2        Data3        Data4        Data5        Data6        Data7        Data8        Data9       Data10       Data11       Data12       Data13       Data14       Data15       Data16       Data17       Data18       Data19       Data20       Data21       Data22       Data23       Data24       Data25       Data26       Data27       Data28       Data29       Data30       Data31       Data32       Data33       Data34       Data35       Data36       Data37       Data38       Data39       Data40       Data41       Data42       Data43       Data44       Data45       Data46       Data47       Data48       Data49 ImageQuality      FreeMem     TrapType   BarCurrent TransferCurr   MOTCurrent   GxOrOffset GyOrGradient GzOrCurvatur        Li7f0      Li7fend ProbeDetunin ExpansionTim  Calibration        EichX        EichY NoisePicture NrProbeImage UseProbeLibr         Fluo FastKinetics    FKSHeight FKSDirtyLine ProfilAverag SeveralPictu      BiningX      BiningY      MaxFluo           P1           P2 1DFitFunctio 2DFitFunctio      FitIter    FitChange     FitChiSq       Camera PictureListP  MainPicture         Mass   Wavelength      Clebsch    MagMoment    Linewidth       Pos1Xs       Pos1Xe       Pos1Ys       Pos1Ye       Pos2Xs       Pos2Xe       Pos2Ys       Pos2Ye        Color    LineShift  OffsetShift  TimingError     Filename         Path     Endstate   AtomicName CameraDirect 
    1  1 P33            1 0.01772492162 0.04782863844 0.1051819204 0.05245909313  1.031663458  37834.64483  44128.32426 -0.0004926218135  44128.32426  44128.32426  1832.544876  595.2890927            0            0            0            0          0.5  36.35201157 0.08194976831 0.02590417039  9758.013475 -0.0004926218135 -0.0004926218135 -0.0002357887604 -0.0005447553798            0            0            0            0     0.687706    0.0364734            0            0 0.00122262442 -9.356673385e-05            0 0.05598639409 9.732207179e+10            0    100000000 0.08342676273            0        1e+10        1e-06            1            0            0            0            0            0         -1.5            1            0        60000            1 0.01145771467 0.08342676273 0.1026182527            0            0            0            0            0            0            1           -1           -1           -1            0            0            0            0            0            0            0            0            0            0        60000    2311948.9   2311950000            0            0 -0.025024414     1342.537 -0.020294189 0.00015258789 -0.029449463 -0.0028991699 -0.019378662    1.7274475    1.7222595 -0.018157959            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0   2147483647            0            0            0            0            0            0            0            0            0            0           17            1      0.00372      0.00372            0            1            0            0            1          501            4            1            1            1            1         1000            0            1            1            0            0            0 0.00067320075            3            3            4           87      7.8e-07          0.5            1      6000000     0.430065     0.733872  0.115234375  0.310546875     0.303807     0.895639  0.087890625     0.328125            0            0            1            0 C:\SrBEC\Data\13Nov09\P0001DA3.TGA Optical trap WZST0IRC0D0T1Z0F0Z2Z3DS0Z4Z5F2Z0SrMIP1ZSR0CSRD1T2RRRRD3IRC1D5D4RRF1D8F4D10F5D11Z0FAPIP2 87Rb Y 
    2  1 P33            2 0.02134104318 0.04492279404 0.0874365708 0.05816355538  1.036531299  42987.68892  43978.71318 -2.454786435e-06  43978.71318  43978.71318 -1260.608363  448.6823061            0            0            0            0          0.5 8.795742636e+54 -0.05674914538 0.02100665786 -5854.359507 -2.454786435e-06 -2.454786435e-06 -0.001532440545 -0.0004906246662            0            0            0            0     0.687706    0.0364734            0            0 0.001754990482 -0.0003143908388            0            0 9.194977833e+10            0    100000000 0.07359746847            0        1e+10        1e-06            1            0            0            0            0            0         -1.5            1            0        60000            1 0.01660965627 0.07359746847 0.07171626293            0            0            0            0            0            0            1           -1           -1           -1            0            0            0            0            0            0            0            0            0            0        60000    2312073.7   2312074800            0            0 -0.029449463     1342.537 -0.019073486 -0.0096130371 -0.0059509277 -0.0032043457 -0.025177002    1.7311096    1.7192078 -0.019683838            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0            0   2147483647            0            0            0            0            0            0            0            0            0            0           17            1      0.00372      0.00372            0            1            0            0            1          501            4            1            1            1            1         1000            0            1            1            0            0            0 0.001174370144            3            3            4           87      7.8e-07          0.5            1      6000000     0.430065     0.733872  0.115234375  0.310546875     0.303807     0.895639  0.087890625     0.328125            0            0            1            0 C:\SrBEC\Data\13Nov09\P0002DA3.TGA Optical trap WZST0IRC0D0T1Z0F0Z2Z3DS0Z4Z5F2Z0SrMIP1ZSR0CSRD1T2RRRRD3IRC1D5D4RRF1D8F4D10F5D11Z0FAPIP2 87Rb Y 
